
mean       0.104812 -0.2 2
sigma      0.100799 0 0.6
y-itercept 5.65248 0 4600
slope      -0.884202 -92 0
q-Boundary -0.157007 -0.6625 0.3375
========== 18 7 0.6 3
0 0 -4 6
amplitude  303.212 0 306
mean       0.111995 -0.2 2
sigma      0.140601 0 0.6
y-itercept 2.49153 0 3060
slope      -0.0582436 -61.2 0
q-Boundary -0.396749 -0.8375 0.1625
========== 18 8 0.6 3
0 0 -4 6
amplitude  209.315 0 214
mean       0.139481 -0.2 2
sigma      0.155104 0 0.6
y-itercept 3.998 0 2140
slope      -0.50455 -42.8 0
q-Boundary -0.595462 -1.0875 -0.0875
========== 18 9 0.6 3
0 0 -4 6
amplitude  153.237 0 167
mean       0.143669 -0.2 2
sigma      0.163262 0 0.6
y-itercept 3.83227 0 1670
slope      -0.429267 -33.4 0
q-Boundary -0.891537 -1.3875 -0.3875
========== 18 10 0.6 3
0 0 -4 6
amplitude  118.811 0 139
mean       0.134812 -0.2 2
sigma      0.168387 0 0.6
y-itercept 4.20728 0 1390
slope      -0.535494 -27.8 0
q-Boundary -1.13212 -1.6375 -0.6375
========== 18 11 0.6 3
0 0 -4 6
amplitude  83.6721 0 96
mean       0.119843 -0.2 2
sigma      0.185152 0 0.6
y-itercept 5.72416 0 960
slope      -0.976298 -19.2 0
q-Boundary -1.38753 -1.8875 -0.8875
========== 18 12 0.6 3
0 0 -4 6
amplitude  61.6289 0 74
mean       0.119023 -0.2 2
sigma      0.188972 0 0.6
y-itercept 5.56414 0 740
slope      -0.915433 -14.8 0
q-Boundary -1.63447 -2.1375 -1.1375
========== 18 13 0.6 3
0 0 -4 6
amplitude  97.1513 0 108
mean       0.113116 -0.2 2
sigma      0.202854 0 0.6
y-itercept 10.5058 0 1080
slope      -1.73554 -21.6 0
q-Boundary -1.82503 -2.325 -1.325
========== 18 14 0.6 3
0 0 -4 6
amplitude  257.986 0 289
mean       0.127466 -0.2 2
sigma      0.22822 0 0.6
y-itercept 46.1498 0 2890
slope      -7.703 -57.8 0
q-Boundary -2.10007 -2.6 -1.6
========== 18 15 0.6 3
0 0 -4 6
amplitude  75.4686 0 97
mean       0.179545 -0.2 2
sigma      0.222937 0 0.6
y-itercept 25.1129 0 970
slope      -5.51029 -19.4 0
q-Boundary -2.31463 -2.85 -1.85
========== 18 16 0.6 3
0 0 -4 6
amplitude  21.4204 0 80
mean       0.173085 -0.2 2
sigma      0.176437 0 0.6
y-itercept 17.2623 0 800
slope      -4.57164 -16 0
q-Boundary -2.49971 -3.05 -2.05

========== 19 0 0.6 3
0 0 -4 6
amplitude  1443.33 0 1480
mean       0.124084 -0.2 2
sigma      0.153981 0 0.6
y-itercept 36.0966 0 14800
slope      -3.8111 -296 0
q-Boundary -2.38763 -2.8875 -1.8875
========== 19 5 0.6 3
0 0 -4 6
amplitude  90.3521 0 99
