Angle [deg]1	CM	Angle [deg]2	Lab (0->) 40Ar	Angle [deg]3	Lab (0<-) 40Ar	Angle [deg]4	Lab (0->)  1H	Angle [deg]5	Lab (0<-)  1H	
16.056650	60275.7   	0.174114	2.60153e+09	0.174114	34780     	8.054749	95.3444   	8.054749	95.3444   	
16.236500	57666.1   	0.175509	2.51983e+09	0.175509	34788.3   	8.144690	95.4084   	8.144690	95.4084   	
16.416350	55196.8   	0.176903	2.44131e+09	0.176903	34796.5   	8.234631	95.4731   	8.234631	95.4731   	
16.596200	52858.7   	0.178298	2.36582e+09	0.178298	34804.9   	8.324572	95.5385   	8.324572	95.5385   	
16.776050	50643.6   	0.179692	2.29323e+09	0.179692	34813.4   	8.414513	95.6047   	8.414513	95.6047   	
16.955900	48543.8   	0.181087	2.2234e+09	0.181087	34821.9   	8.504454	95.6717   	8.504454	95.6717   	
17.135750	46552.2   	0.182481	2.15622e+09	0.182481	34830.5   	8.594395	95.7395   	8.594395	95.7395   	
17.315600	44662.1   	0.183876	2.09155e+09	0.183876	34839.1   	8.684336	95.808    	8.684336	95.808    	
17.495450	42867.4   	0.185270	2.02928e+09	0.185270	34847.8   	8.774277	95.8773   	8.774277	95.8773   	
17.675300	41162.4   	0.186665	1.96932e+09	0.186665	34856.6   	8.864218	95.9474   	8.864218	95.9474   	
17.855150	39541.6   	0.188060	1.91155e+09	0.188060	34865.5   	8.954159	96.0182   	8.954159	96.0182   	
18.035000	38000.3   	0.189454	1.85589e+09	0.189454	34874.4   	9.044100	96.0899   	9.044100	96.0899   	
18.214850	36533.6   	0.190849	1.80224e+09	0.190849	34883.4   	9.134041	96.1623   	9.134041	96.1623   	
18.394700	35137.4   	0.192243	1.75051e+09	0.192243	34892.5   	9.223982	96.2355   	9.223982	96.2355   	
18.574550	33807.6   	0.193638	1.70063e+09	0.193638	34901.7   	9.313923	96.3095   	9.313923	96.3095   	
18.754400	32540.4   	0.195032	1.65251e+09	0.195032	34910.9   	9.403864	96.3843   	9.403864	96.3843   	
18.934250	31332.4   	0.196427	1.60608e+09	0.196427	34920.2   	9.493805	96.4598   	9.493805	96.4598   	
19.114100	30180.1   	0.197821	1.56127e+09	0.197821	34929.5   	9.583746	96.5362   	9.583746	96.5362   	
19.293950	29080.7   	0.199216	1.51801e+09	0.199216	34938.9   	9.673687	96.6134   	9.673687	96.6134   	
19.473800	28031.1   	0.200610	1.47624e+09	0.200610	34948.5   	9.763628	96.6913   	9.763628	96.6913   	
19.653650	27028.8   	0.202005	1.43589e+09	0.202005	34958     	9.853569	96.7701   	9.853569	96.7701   	
19.833500	26071     	0.203399	1.39692e+09	0.203399	34967.7   	9.943510	96.8496   	9.943510	96.8496   	
20.013350	25155.6   	0.204794	1.35926e+09	0.204794	34977.4   	10.033451	96.93     	10.033451	96.93     	
20.193200	24280.3   	0.206189	1.32286e+09	0.206189	34987.2   	10.123392	97.0112   	10.123392	97.0112   	
20.373050	23442.9   	0.207583	1.28767e+09	0.207583	34997     	10.213333	97.0931   	10.213333	97.0931   	
20.552900	22641.5   	0.208978	1.25364e+09	0.208978	35006.9   	10.303274	97.1759   	10.303274	97.1759   	
20.732750	21874.3   	0.210372	1.22073e+09	0.210372	35017     	10.393215	97.2595   	10.393215	97.2595   	
20.912600	21139.5   	0.211767	1.18889e+09	0.211767	35027     	10.483156	97.3439   	10.483156	97.3439   	
21.092450	20435.5   	0.213161	1.15808e+09	0.213161	35037.1   	10.573097	97.4292   	10.573097	97.4292   	
21.272300	19760.8   	0.214556	1.12827e+09	0.214556	35047.4   	10.663038	97.5152   	10.663038	97.5152   	
21.452150	19113.9   	0.215950	1.0994e+09	0.215950	35057.7   	10.752979	97.6021   	10.752979	97.6021   	
21.632000	18493.4   	0.217345	1.07146e+09	0.217345	35068     	10.842920	97.6898   	10.842920	97.6898   	
21.811850	17898.1   	0.218739	1.0444e+09	0.218739	35078.5   	10.932861	97.7783   	10.932861	97.7783   	
21.991700	17326.7   	0.220134	1.01818e+09	0.220134	35089     	11.022802	97.8677   	11.022802	97.8677   	
22.171550	16778.1   	0.221528	9.92788e+08	0.221528	35099.5   	11.112743	97.9579   	11.112743	97.9579   	
22.351400	16251.2   	0.222923	9.68179e+08	0.222923	35110.2   	11.202684	98.0489   	11.202684	98.0489   	
22.531250	15744.9   	0.224318	9.44327e+08	0.224318	35120.9   	11.292625	98.1408   	11.292625	98.1408   	
22.711100	15258.4   	0.225712	9.21206e+08	0.225712	35131.7   	11.382566	98.2335   	11.382566	98.2335   	
22.890950	14790.7   	0.227107	8.98788e+08	0.227107	35142.6   	11.472507	98.327    	11.472507	98.327    	
23.070800	14340.8   	0.228501	8.77048e+08	0.228501	35153.5   	11.562448	98.4215   	11.562448	98.4215   	
23.250650	13908.1   	0.229896	8.55961e+08	0.229896	35164.6   	11.652389	98.5167   	11.652389	98.5167   	
23.430500	13491.8   	0.231290	8.35504e+08	0.231290	35175.6   	11.742330	98.6128   	11.742330	98.6128   	
23.610350	13091     	0.232685	8.15655e+08	0.232685	35186.8   	11.832271	98.7098   	11.832271	98.7098   	
23.790200	12705.1   	0.234079	7.96391e+08	0.234079	35198.1   	11.922212	98.8076   	11.922212	98.8076   	
23.970050	12333.5   	0.235474	7.77694e+08	0.235474	35209.4   	12.012153	98.9063   	12.012153	98.9063   	
24.149900	11975.4   	0.236868	7.59541e+08	0.236868	35220.7   	12.102094	99.0058   	12.102094	99.0058   	
24.329750	11630.4   	0.238263	7.41915e+08	0.238263	35232.2   	12.192035	99.1062   	12.192035	99.1062   	
24.509600	11297.8   	0.239657	7.24798e+08	0.239657	35243.7   	12.281976	99.2075   	12.281976	99.2075   	
24.689450	10977.1   	0.241052	7.08171e+08	0.241052	35255.3   	12.371917	99.3096   	12.371917	99.3096   	
24.869300	10667.9   	0.242447	6.92018e+08	0.242447	35267     	12.461858	99.4126   	12.461858	99.4126   	
25.049150	10369.5   	0.243841	6.76324e+08	0.243841	35278.8   	12.551799	99.5166   	12.551799	99.5166   	
25.229000	10081.6   	0.245236	6.61072e+08	0.245236	35290.6   	12.641740	99.6213   	12.641740	99.6213   	
25.408850	9803.75   	0.246630	6.46246e+08	0.246630	35302.5   	12.731681	99.727    	12.731681	99.727    	
25.588700	9535.47   	0.248025	6.31836e+08	0.248025	35314.5   	12.821622	99.8336   	12.821622	99.8336   	
25.768550	9276.4    	0.249419	6.17824e+08	0.249419	35326.6   	12.911563	99.941    	12.911563	99.941    	
25.948400	9026.16   	0.250814	6.04198e+08	0.250814	35338.7   	13.001504	100.049   	13.001504	100.049   	
26.128250	8784.38   	0.252208	5.90946e+08	0.252208	35350.9   	13.091445	100.159   	13.091445	100.159   	
26.308100	8550.73   	0.253603	5.78056e+08	0.253603	35363.2   	13.181386	100.269   	13.181386	100.269   	
26.487950	8324.88   	0.254997	5.65514e+08	0.254997	35375.5   	13.271327	100.38    	13.271327	100.38    	
26.667800	8106.51   	0.256392	5.53312e+08	0.256392	35388     	13.361268	100.492   	13.361268	100.492   	
26.847650	7895.34   	0.257787	5.41437e+08	0.257787	35400.5   	13.451209	100.605   	13.451209	100.605   	
27.027500	7691.07   	0.259181	5.29878e+08	0.259181	35413.1   	13.541150	100.718   	13.541150	100.718   	
